edge_id,timestamp_ms,hour_of_day,src,dst,amount,label,location_region,ip_prefix,login_frequency,session_duration,purchase_pattern,age_group,risk_score,anomaly
1,1642523219000,16,266,421,778.197389885983,purchase,Asia,192.168,3,74,focused,established,31.25,low_risk
2,1645194930000,14,881,569,775.5693437525714,sale,Africa,172.16,6,100,high_value,veteran,62.5,moderate_risk
3,1649185544000,19,860,458,590.25398234613,transfer,Africa,192.168,4,66,focused,established,15.75,low_risk
4,1664304411000,18,1038,930,671.4962455418183,sale,South America,192.0,8,103,high_value,veteran,52.5,low_risk
5,1648759222000,20,1226,1149,585.3229359466544,sale,South America,172.0,8,85,high_value,veteran,52.5,low_risk
6,1668069172000,8,1303,553,765.870505856283,purchase,North America,172.16,4,62,focused,established,31.25,low_risk
7,1654200144000,20,1074,266,792.9881739355139,purchase,South America,192.0,2,38,random,new,43.75,low_risk
8,1660000476000,23,752,813,393.4048333242111,sale,North America,192.0,6,149,high_value,veteran,52.5,low_risk
9,1652088648000,9,166,8,540.5648950902568,sale,Asia,172.16,8,126,high_value,veteran,52.5,low_risk
10,1664933836000,1,79,94,65.22560004822316,purchase,South America,10.0,4,53,focused,established,33.75,low_risk
11,1654585063000,6,744,399,230.2143851161547,phishing,Europe,10.0,1,25,random,new,100.0,high_risk
12,1670442896000,19,477,288,521.6754305436302,sale,Africa,172.0,8,105,high_value,veteran,52.5,low_risk
13,1665268466000,22,716,1078,362.5265919105845,purchase,Asia,172.0,5,49,focused,established,26.25,low_risk
14,1651211108000,5,694,1042,625.4572454638961,transfer,South America,172.0,4,40,focused,established,21.2625,low_risk
15,1667614205000,2,622,412,851.3210875208952,sale,Europe,172.0,8,92,high_value,veteran,84.375,moderate_risk
16,1644317094000,10,469,242,322.86588986263115,sale,North America,192.168,6,95,high_value,veteran,52.5,low_risk
17,1657332370000,2,959,964,0.01,sale,North America,192.0,7,100,high_value,veteran,67.5,moderate_risk
18,1643897295000,14,673,1217,479.1285262971634,sale,South America,10.0,6,99,high_value,veteran,52.5,low_risk
19,1663435453000,17,72,391,404.38113527125097,purchase,Asia,172.0,5,50,focused,established,26.25,low_risk
20,1645694484000,9,1275,996,543.577703829605,transfer,North America,172.0,7,95,high_value,veteran,36.75,low_risk
21,1649548378000,23,501,1157,602.2692769616223,sale,Africa,192.168,8,86,high_value,veteran,52.5,low_risk
22,1641046896000,14,1247,1180,483.3985841809038,transfer,North America,172.0,3,53,focused,established,15.75,low_risk
23,1655389614000,14,52,981,487.14214850355944,purchase,Asia,192.168,5,74,focused,established,26.25,low_risk
24,1644121862000,4,1016,68,505.8074482952425,sale,South America,172.0,6,99,high_value,veteran,70.875,moderate_risk
25,1668904576000,0,114,1061,323.16597289031927,sale,Asia,172.0,8,93,high_value,veteran,70.875,moderate_risk
26,1644523974000,20,1289,1142,357.4740959462864,purchase,North America,10.0,5,79,focused,established,26.25,low_risk
27,1669797504000,8,1320,437,545.3898997875332,purchase,North America,172.0,5,62,focused,established,26.25,low_risk
28,1653687381000,21,1027,268,11.836976322543194,sale,North America,10.0,6,127,high_value,veteran,50.0,low_risk
29,1661150766000,6,201,864,490.912071580041,transfer,Africa,10.0,7,151,high_value,veteran,49.612500000000004,low_risk
30,1650175457000,6,281,1147,494.9013365203876,purchase,Africa,172.16,5,53,focused,established,35.4375,low_risk
31,1672074513000,17,1188,902,303.0368058051796,transfer,Asia,10.0,3,75,focused,established,15.75,low_risk
32,1655348251000,2,556,352,468.47864114616874,sale,North America,10.0,8,100,high_value,veteran,70.875,moderate_risk
33,1651573524000,10,785,387,28.234242050624857,transfer,South America,172.0,3,78,focused,established,15.0,low_risk
34,1644883986000,0,38,19,164.42033074321807,sale,North America,192.168,2,29,random,new,54.0,low_risk
35,1646893526000,6,1190,621,181.24801940706817,sale,North America,172.0,8,83,high_value,veteran,67.5,moderate_risk
36,1650493783000,22,1015,1216,493.8897326786156,purchase,Africa,10.0,5,42,focused,established,26.25,low_risk
37,1648345317000,1,1090,1307,669.5743560933811,sale,North America,10.0,6,135,high_value,veteran,70.875,moderate_risk
38,1644540640000,0,660,1236,268.4257798774461,transfer,South America,192.0,8,140,high_value,veteran,47.25,low_risk
39,1657448521000,10,1032,695,444.4037639406027,transfer,North America,172.0,4,69,focused,established,15.75,low_risk
40,1650600452000,4,499,565,134.5056715495005,transfer,South America,172.0,5,66,focused,established,20.25,low_risk
41,1654980005000,20,646,157,512.27631683721,sale,Europe,192.168,2,28,random,new,42.0,low_risk
42,1665474967000,7,610,1236,395.20975378725404,purchase,Africa,192.0,4,72,focused,established,26.25,low_risk
43,1665140003000,10,578,834,853.0376514208114,sale,North America,10.0,7,104,high_value,veteran,62.5,moderate_risk
44,1667471084000,10,402,142,551.7465124776907,sale,North America,10.0,1,27,random,new,42.0,low_risk
45,1671066675000,1,648,763,445.49185266657724,transfer,North America,192.0,2,31,random,new,35.4375,low_risk
46,1665087470000,20,846,312,816.85196530295,purchase,Europe,192.0,3,57,focused,established,31.25,low_risk
47,1641891000000,8,813,1128,541.1849144388013,transfer,North America,172.0,8,141,high_value,veteran,36.75,low_risk
48,1656938936000,12,8,46,447.5195281436316,purchase,Africa,192.0,2,22,random,new,36.75,low_risk
49,1668934344000,8,780,959,539.3763970779623,transfer,Africa,172.16,4,56,focused,established,15.75,low_risk
50,1664517983000,6,714,931,371.48865631094736,sale,North America,172.16,8,148,high_value,veteran,70.875,moderate_risk
51,1655837346000,18,597,1214,231.17665949676604,sale,Asia,172.0,8,99,high_value,veteran,50.0,low_risk
52,1655575381000,18,123,304,628.3333914279062,purchase,Europe,192.168,1,34,random,new,36.75,low_risk
53,1650405954000,22,753,532,400.90101985670725,sale,Africa,192.168,2,23,random,new,42.0,low_risk
54,1654136446000,2,618,89,635.5550035241351,purchase,Asia,192.0,4,79,focused,established,35.4375,low_risk
55,1651392381000,8,456,527,749.6431807325434,sale,Africa,10.0,7,111,high_value,veteran,62.5,moderate_risk
56,1660399423000,14,28,1013,303.29911719976076,phishing,South America,172.16,1,26,random,new,100.0,high_risk
57,1646094773000,0,1318,1127,700.355953234873,purchase,Asia,10.0,1,38,random,new,59.0625,low_risk
58,1669998554000,16,689,513,229.9910881505653,transfer,Africa,192.168,2,33,random,new,25.0,low_risk
59,1664714858000,12,364,296,44.34249664308288,transfer,Africa,172.0,3,77,focused,established,15.0,low_risk
60,1641709831000,6,649,229,787.8369180950667,purchase,Africa,172.0,5,74,focused,established,42.1875,low_risk
61,1660018005000,4,1171,587,0.01,transfer,Asia,10.0,5,76,focused,established,20.25,low_risk
62,1642550049000,23,64,383,719.1126424450999,scam,Europe,192.0,2,22,random,new,100.0,high_risk
63,1643200422000,12,1099,1228,816.2836394533505,sale,Africa,172.16,7,81,high_value,veteran,62.5,moderate_risk
64,1649596596000,13,1179,796,592.7873214631384,purchase,Africa,172.16,1,37,random,new,36.75,low_risk
65,1666944852000,8,34,163,529.1069185522443,sale,North America,172.0,7,145,high_value,veteran,52.5,low_risk
66,1659355314000,12,1230,112,404.74111090439067,sale,North America,172.16,7,138,high_value,veteran,52.5,low_risk
67,1649202406000,23,1272,95,578.1994736557722,scam,South America,192.168,2,28,random,new,94.5,high_risk
68,1665912264000,9,818,136,792.3146628591071,transfer,North America,172.0,8,132,high_value,veteran,43.75,low_risk
69,1671475726000,18,951,820,604.6853185504091,phishing,Europe,192.0,2,32,random,new,100.0,high_risk
70,1665495786000,13,1152,86,763.7565760320622,transfer,Africa,10.0,1,32,random,new,31.25,low_risk
71,1651265316000,20,987,841,528.3222446043833,sale,South America,192.168,7,103,high_value,veteran,52.5,low_risk
72,1658647122000,7,869,336,873.0147410536624,sale,Europe,172.0,2,37,random,new,50.0,low_risk
73,1663397365000,6,1045,216,489.92011418508287,sale,Asia,172.0,8,124,high_value,veteran,70.875,moderate_risk
74,1653385236000,9,954,350,717.0661976065744,sale,North America,10.0,2,32,random,new,50.0,low_risk
75,1656978086000,23,310,720,775.583958256203,purchase,Africa,192.168,5,45,focused,established,31.25,low_risk
76,1669501118000,22,996,632,423.52204875571863,sale,Europe,172.16,8,111,high_value,veteran,52.5,low_risk
77,1652785174000,10,870,143,630.12145719921,phishing,Asia,10.0,1,37,random,new,100.0,high_risk
78,1656537140000,21,1088,1222,840.3875231221923,sale,Europe,172.0,7,131,high_value,veteran,62.5,moderate_risk
79,1665436614000,21,751,505,814.788863211101,transfer,South America,192.0,4,43,focused,established,18.75,low_risk
80,1668547643000,21,707,879,645.2843956451262,sale,Europe,192.0,7,83,high_value,veteran,52.5,low_risk
81,1665905411000,7,48,1267,205.0301414478365,transfer,North America,172.0,4,46,focused,established,15.0,low_risk
82,1641496368000,19,1161,1026,1019.6428943047923,sale,Asia,192.0,8,148,high_value,veteran,62.5,moderate_risk
83,1666984156000,19,506,824,422.2977358844482,transfer,South America,172.0,5,44,focused,established,15.75,low_risk
84,1665909203000,8,376,435,260.8212078681683,sale,Asia,10.0,8,132,high_value,veteran,50.0,low_risk
85,1665326188000,14,948,289,183.38482844134558,purchase,Asia,10.0,5,68,focused,established,25.0,low_risk
86,1651825188000,8,874,690,720.6611066827622,purchase,North America,172.0,5,70,focused,established,31.25,low_risk
87,1649678962000,12,197,261,578.989160972291,scam,Africa,10.0,2,24,random,new,94.5,high_risk
88,1652830721000,23,949,924,924.9027283191685,transfer,Asia,172.0,4,44,focused,established,18.75,low_risk
89,1665000387000,20,777,1106,749.9194169726999,transfer,South America,192.0,4,56,focused,established,18.75,low_risk
90,1644977170000,2,809,864,374.46626324231937,purchase,Africa,172.0,4,62,focused,established,35.4375,low_risk
91,1661394936000,2,970,104,811.5657541098414,purchase,Europe,192.168,1,39,random,new,59.0625,low_risk
92,1669316300000,18,911,292,765.8743309259111,transfer,Europe,192.168,6,111,high_value,veteran,43.75,low_risk
93,1671598206000,4,1137,595,703.4787539683963,scam,Europe,172.16,2,23,random,new,100.0,high_risk
94,1660409257000,16,610,742,437.3987634597475,sale,Europe,192.168,1,34,random,new,42.0,low_risk
95,1663840579000,9,1113,1118,544.2700615077445,sale,Asia,10.0,8,133,high_value,veteran,52.5,low_risk
