config,length,result,runtime_ms
handcrafted,2,23,21.12
handcrafted,3,95,32.21
handcrafted,4,264,40.13
handcrafted,5,466,52.22
handcrafted,6,711,67.83
handcrafted,7,745,79.86
handcrafted,8,840,81.92
handcrafted,9,852,94.28
handcrafted,10,878,100.95
recap-optimized,2,23,23.75
recap-optimized,3,95,34.52
recap-optimized,4,264,58.00
recap-optimized,5,466,76.73
recap-optimized,6,711,108.61
recap-optimized,7,745,124.32
recap-optimized,8,840,146.66
recap-optimized,9,852,158.50
recap-optimized,10,878,164.85
split,2,23,19.73
split,3,95,34.24
split,4,264,48.83
split,5,466,58.96
split,6,711,73.33
split,7,745,85.59
split,8,840,97.36
split,9,852,111.65
split,10,878,106.02
