engine,length,result,runtime_ms,intermediate_count_ms,peak_buffer_memory_mb,peak_rss_mb
recap-new-standard,2,34,29.14626896381378,18.251150846481323,5222.418432,12939.071488
recap-new-optimized,2,34,18.047615885734558,12.863680720329285,5190.10304,12577.697792
recap-new-standard,3,329,29.123276472091675,41.586846113204956,5217.21856,11962.55232
recap-new-optimized,3,329,30.5597186088562,21.154195070266724,5210.80832,12706.05824
recap-new-standard,4,3579,84.437295794487,58.130621910095215,5233.199104,12388.864
recap-new-optimized,4,3579,59.67606604099274,64.80775773525238,5209.182208,12086.161408
recap-new-standard,5,28353,140.7964825630188,135.3093832731247,5235.711552,13131.546624
recap-new-optimized,5,28353,126.84214115142822,116.59808456897736,5229.932096,12065.038336
recap-new-standard,6,156155,317.4075186252594,320.1577067375183,5330.845696,12448.70656
recap-new-optimized,6,156155,282.213032245636,260.1739317178726,5323.667456,13515.415552
recap-new-standard,7,941510,750.7013529539108,795.7009673118591,5821.162208,13363.634176
recap-new-optimized,7,941510,601.3621687889099,619.571328163147,5828.428512,13124.85376
recap-new-standard,8,3619820,1916.005328297615,1869.8078840970993,6137.59908,12582.445056
recap-new-optimized,8,3619820,1516.6200548410416,1540.4963195323944,6125.272168,12891.17696
recap-new-standard,9,16940560,5498.93094599247,5785.573974251747,7806.155136,13679.116288
recap-new-optimized,9,16940560,4830.782651901245,4736.779794096947,7790.553472,13547.6224
recap-new-standard,10,53588257,18897.621020674706,19043.794840574265,13828.063776,15047.655424
recap-new-optimized,10,53588257,15431.645020842552,15254.327788949013,13835.727392,14996.475904
