engine,length,result,runtime_ms,intermediate_count_ms,peak_buffer_memory_mb,peak_rss_mb
recap-new-standard,2,422,61.769187450408936,37.865206599235535,1753.155584,4114.419712
recap-new-optimized,2,422,37.75519132614136,31.85749053955078,1728.52224,4087.431168
recap-new-standard,3,4621,74.77381825447083,41.536420583724976,1753.563136,4176.785408
recap-new-optimized,3,4621,48.06610941886902,41.56316816806793,1731.684352,3968.413696
recap-new-standard,4,38444,121.7276006937027,69.8799341917038,1783.113728,4113.702912
recap-new-optimized,4,38444,90.62159061431885,45.80129683017731,1749.870592,4077.727744
recap-new-standard,5,279035,198.0162262916565,105.85024952888489,1918.52848,4072.792064
recap-new-optimized,5,279035,134.70308482646942,86.71937882900238,1887.775712,3983.83104
recap-new-standard,6,1818120,472.42750227451324,405.9850424528122,2426.151,4173.225984
recap-new-optimized,6,1818120,433.8720738887787,378.8347393274307,2401.94364,4088.56576
recap-new-standard,7,10704627,2319.003000855446,2267.0660465955734,3355.290224,4238.614528
recap-new-optimized,7,10704627,2146.7997431755066,2030.890330672264,3352.259184,4228.370432
recap-new-standard,8,57615956,13520.407155156136,12773.870661854744,10266.208256,11052.371968
recap-new-optimized,8,57615956,12408.698782324791,12019.382387399673,10259.42528,11048.677376
